公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python研发工程师,2.0,本科,20k-25k,"扁平化管理,免费中午餐,下午茶零食,六险一金","['1', '3']","['20', '25']",21.25
北京原子钟信息科技有限公司,原子钟,15-50人,A轮,朝阳区,Python开发工程师,4.0,本科,15k-25k,"14薪,带薪年假,节日福利,机会多","['3', '5']","['15', '25']",17.5
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Python研发工程师,4.0,大专,18k-30k,"弹性工作,百万医疗,10天年假,高速增长","['3', '5']","['18', '30']",21.0
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,初级Python开发工程师,4.0,本科,10k-15k,"五险一金,全勤奖,餐补,年终奖金","['3', '5']","['10', '15']",11.25
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,Python开发,4.0,本科,20k-40k,"六险一金,年假,上市公司,大平台","['3', '5']","['20', '40']",25.0
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,4.0,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性","['3', '5']","['20', '40']",25.0
北京智分科技有限公司,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,4.0,本科,25k-45k,"Geek范,清华系,福利待遇好,股票期权","['3', '5']","['25', '45']",30.0
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,Python研发工程师,4.0,本科,35k-55k,"硕士最好,不加班,18薪,有期权","['3', '5']","['35', '55']",40.0
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,Python工程师,4.0,大专,15k-30k,"机会多多,K12,平台好","['3', '5']","['15', '30']",18.75
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,4.0,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金","['3', '5']","['25', '50']",31.25
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python 研发工程师,4.0,本科,25k-45k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间,"['3', '5']","['25', '45']",30.0
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python,4.0,本科,25k-30k,"核心项目,中间件团队,底层方向,等你来挑战","['3', '5']","['25', '30']",26.25
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—CI/CD方向,4.0,本科,15k-30k,"发展空间大,五险一金,带薪年假,创业公司","['3', '5']","['15', '30']",18.75
北京完美创意科技有限公司,更美APP,150-500人,D轮及以上,朝阳区,Python高级研发工程师,4.0,本科,25k-45k,"弹性时间,技术大牛,年度旅游,福利齐全","['3', '5']","['25', '45']",30.0
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,高级Python开发工程师,7.5,本科,25k-40k,"前沿技术,弹性工作,丰富下午茶","['5', '10']","['25', '40']",28.75
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,中高级Python开发工程师,4.0,本科,20k-30k,"五险一金,全勤奖,餐补,年终奖金","['3', '5']","['20', '30']",22.5
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,高级python工程师,7.5,大专,20k-30k,"机会多多,平台好,领导好","['5', '10']","['20', '30']",22.5
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Linux C++/Python中高级研发工程师,7.5,本科,25k-35k,"弹性工作,六险一金,百万医疗,B+轮融资","['5', '10']","['25', '35']",27.5
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,2.0,本科,25k-50k,"15薪,13天年假,免费三餐,逢假必过","['1', '3']","['25', '50']",31.25
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,资深python开发工程师,7.5,本科,20k-40k,"福利好,发展快","['5', '10']","['20', '40']",25.0
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python工程师,2.0,本科,20k-40k,"技术驱动,极客氛围,大牛团队","['1', '3']","['20', '40']",25.0
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—监控方向,4.0,本科,15k-30k,"五险一金,创业公司,补充医疗,带薪年假","['3', '5']","['15', '30']",18.75
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python工程师,4.0,本科,17k-34k,"地铁周边,零食水果,福利优厚,五险一金","['3', '5']","['17', '34']",21.25
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,Python开发工程师,4.0,大专,15k-30k,"不限量零食,福利多多,年终奖,办公环境好","['3', '5']","['15', '30']",18.75
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,2.0,本科,15k-30k,"六险一金,水果零食多,按摩椅,大牛云集","['1', '3']","['15', '30']",18.75
同方知网（北京）技术有限公司,知网,2000人以上,上市公司,海淀区,python高级工程师/架构师,4.0,本科,10k-20k,"优秀的产品,牛逼的团队,行业领导者,互联网应用","['3', '5']","['10', '20']",12.5
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python开发工程师,4.0,本科,20k-40k,最高19薪 独角兽公司 学习型团队,"['3', '5']","['20', '40']",25.0
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,Python开发工程师,2.0,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐","['1', '3']","['20', '35']",23.75
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,python工程师,4.0,本科,15k-25k,"平台好,发展空间大","['3', '5']","['15', '25']",17.5
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—CI/CD方向,4.0,本科,20k-40k,"五险一金,创业公司,发展空间大,补充医疗","['3', '5']","['20', '40']",25.0
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深Python开发,7.5,本科,30k-45k,"三餐,健身房,mac","['5', '10']","['30', '45']",33.75
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级开发工程师（技术）,4.0,本科,25k-50k,"独角兽,待遇好","['3', '5']","['25', '50']",31.25
北京格上添富科技发展有限公司,格上添富,150-500人,不需要融资,朝阳区,高级Python研发工程师,7.5,本科,20k-35k,"水果零食,扁平化管理,弹性工作","['5', '10']","['20', '35']",23.75
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,python开发工程师,2.0,本科,20k-40k,"6险一金,期权股票,团队氛围好,地铁周边","['1', '3']","['20', '40']",25.0
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,4.0,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好","['3', '5']","['15', '25']",17.5
路书（北京）科技有限公司,路书,50-150人,A轮,朝阳区,高级python研发工程师,7.5,本科,25k-40k,"优秀团队,高颜值产品,年度旅游,扁平化管理","['5', '10']","['25', '40']",28.75
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级python开发工程师,4.0,本科,20k-30k,"上市公司,技术领先,福利待遇好","['3', '5']","['20', '30']",22.5
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,高级Python开发工程师,4.0,本科,25k-40k,"优秀团队,工场项目,六险一金,金融科技","['3', '5']","['25', '40']",28.75
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python开发工程师,4.0,本科,25k-50k,大牛多,"['3', '5']","['25', '50']",31.25
爱赛因斯（北京）科技有限公司,PMCAFF产品经理社区,15-50人,A轮,朝阳区,Python工程师,4.0,本科,15k-30k,项目好,"['3', '5']","['15', '30']",18.75
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,4.0,本科,20k-30k,一日三餐、带薪年假、弹性工作、六险一金,"['3', '5']","['20', '30']",22.5
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级 Python 工程师,4.0,本科,20k-40k,"区块链技术,国际化团队,技术大牛,发展前景好","['3', '5']","['20', '40']",25.0
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,python研发工程师,7.5,本科,15k-30k,"薪酬福利好,云计算公司","['5', '10']","['15', '30']",18.75
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,python开发工程师,4.0,大专,15k-25k,大平台,"['3', '5']","['15', '25']",17.5
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师（运维开发）,4.0,本科,15k-30k,"五险一金,位置便利,成长空间,弹性工作","['3', '5']","['15', '30']",18.75
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发,2.0,本科,20k-40k,"三餐,健身房,mac","['1', '3']","['20', '40']",25.0
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,海淀区,Python高级开发工程师,4.0,本科,18k-36k,"团队技术强,发展空间大,人工智能","['3', '5']","['18', '36']",22.5
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,python高级研发工程师,7.5,大专,20k-35k,"绩效奖金,员工旅游,带薪年假,股票期权","['5', '10']","['20', '35']",23.75
信永中和会计师事务所（特殊普通合伙）,信永中和,2000人以上,不需要融资,东城区,Python开发工程师,4.0,本科,15k-25k,"环境好,不加班,大公司","['3', '5']","['15', '25']",17.5
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,python讲师,4.0,大专,18k-36k,"领导好,奖金多,行业翘楚,无限可能","['3', '5']","['18', '36']",22.5
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python高级工程师,7.5,本科,25k-30k,"团队氛围好,高速发展,福利多多","['5', '10']","['25', '30']",26.25
北京刷刷看网络科技有限公司,刷刷看,150-500人,A轮,朝阳区,Python工程师,2.0,本科,15k-30k,"地铁周边,移动社交,牛人大咖多,新兴行业","['1', '3']","['15', '30']",18.75
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,0.0,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划",[],"['13', '25']",16.0
北京一览科技有限公司,一览科技,150-500人,B轮,朝阳区,python开发工程师,4.0,本科,20k-40k,福利优厚,"['3', '5']","['20', '40']",25.0
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,4.0,本科,18k-35k,"全额保险,自助午餐,核心业务,大牛同事","['3', '5']","['18', '35']",22.25
中电信用服务有限公司,中电信用,50-150人,未融资,海淀区,Python工程师,7.5,本科,15k-25k,"五险一金,带薪年假,餐补车补,定期体检","['5', '10']","['15', '25']",17.5
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,4.0,本科,18k-36k,"初创公司,技术驱动","['3', '5']","['18', '36']",22.5
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python开发工程师,2.0,本科,10k-20k,"七险一金,14薪,提供三餐,晋升空间","['1', '3']","['10', '20']",12.5
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python开发工程师,4.0,本科,10k-18k,"一日三餐,六险一金,14薪,定期团建","['3', '5']","['10', '18']",12.0
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 3 开发 (MJ000552),2.0,本科,20k-35k,"三餐,健身房,mac","['1', '3']","['20', '35']",23.75
路书（北京）科技有限公司,路书,50-150人,A轮,朝阳区,python研发工程师,4.0,本科,18k-30k,"期权分享,高颜值产品,年度旅游,弹性工作制","['3', '5']","['18', '30']",21.0
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,4.0,本科,12k-18k,"五险一金,绩效奖金,餐补","['3', '5']","['12', '18']",13.5
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,4.0,大专,20k-35k,"十五薪,打车补贴,双月奖金","['3', '5']","['20', '35']",23.75
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,基础架构师-golang/C++/python,4.0,本科,20k-40k,"六险一金,午餐补助,提供晚餐,每日下午茶","['3', '5']","['20', '40']",25.0
北京乐信圣文科技有限责任公司,乐信圣文,50-150人,B轮,海淀区,Python开发工程师,2.0,本科,10k-20k,"年终奖,免费工作餐,五险一金,高端医疗","['1', '3']","['10', '20']",12.5
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1.0,硕士,15k-30k,"飞速发展,技术氛围浓,待遇好,发展快",['1'],"['15', '30']",18.75
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,高级Python工程师,4.0,本科,30k-40k,"大牛带队,绩效奖金,工程师文化,定期团建","['3', '5']","['30', '40']",32.5
北京融联世纪信息技术有限公司,融360,500-2000人,D轮及以上,海淀区,Python研发工程师,7.5,本科,20k-40k,"优质团队,福利待遇","['5', '10']","['20', '40']",25.0
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,7.5,硕士,25k-40k,"五险一金,交通补,免费早餐,定期体检","['5', '10']","['25', '40']",28.75
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,服务端高级开发工程师Golang/Python,4.0,本科,35k-45k,"优厚待遇,技术导向","['3', '5']","['35', '45']",37.5
北京仁信智清科技有限公司,智清金科,15-50人,A轮,海淀区,Python,0.0,本科,20k-35k,"领导好,大牛云集,薪资待遇,职业发展",[],"['20', '35']",23.75
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python后端工程师,4.0,本科,25k-50k,大牛多,"['3', '5']","['25', '50']",31.25
北京智能优学科技有限公司,熊猫加加,15-50人,未融资,朝阳区,Python高级开发工程师,4.0,本科,25k-30k,"五险一金,技术大牛,团队出游,部门聚餐","['3', '5']","['25', '30']",26.25
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,4.0,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大","['3', '5']","['25', '35']",27.5
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,朝阳区,高级Python研发工程师,4.0,本科,15k-30k,"弹性上下班,高速发展,高速成长","['3', '5']","['15', '30']",18.75
上海诚信互通网络信息科技有限公司,诚信互通,150-500人,A轮,海淀区,Python研发工程师,4.0,大专,15k-30k,五险一金,"['3', '5']","['15', '30']",18.75
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,中级python开发工程师,0.0,本科,20k-35k,"领导好,不打卡,午晚餐,年底双薪",[],"['20', '35']",23.75
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,Python中级开发工程师,7.5,大专,17k-34k,"福利好,带薪假,员工旅游,调薪调岗","['5', '10']","['17', '34']",21.25
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,Python开发工程师,2.0,本科,25k-40k,"技术大牛多,福利待遇好","['1', '3']","['25', '40']",28.75
北京棕榈创想科技有限公司,PALMAX,50-150人,A轮,海淀区,Python开发工程师,4.0,本科,15k-25k,"14薪,技术新,大牛多,年度体检","['3', '5']","['15', '25']",17.5
北京春雨天下软件有限公司,春雨医生,150-500人,C轮,海淀区,Python,4.0,本科,20k-40k,有挑战，自主加薪，技术氛围好,"['3', '5']","['20', '40']",25.0
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python平台开发工程师,0.0,本科,22k-35k,"三餐,健身房,mac",[],"['22', '35']",25.25
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,系统开发工程师（Python）,4.0,本科,20k-35k,"五险一金,餐补,生日会,优秀团队","['3', '5']","['20', '35']",23.75
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,2.0,大专,20k-40k,"海外,高薪","['1', '3']","['20', '40']",25.0
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,python开发工程师,7.5,大专,20k-30k,"七险一金,绩效奖金","['5', '10']","['20', '30']",22.5
竞技世界（北京）网络技术有限公司,竞技世界,500-2000人,不需要融资,海淀区,服务器开发工程师（nodejs/java/python/go,7.5,本科,25k-40k,大牛云集，固定调薪，国内外出游，领导好,"['5', '10']","['25', '40']",28.75
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,4.0,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队","['3', '5']","['20', '40']",25.0
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,4.0,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作","['3', '5']","['20', '40']",25.0
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发工程师,4.0,本科,15k-30k,薪资优厚、氛围宽松、每日三餐、六险一金,"['3', '5']","['15', '30']",18.75
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,python高级后端工程师,7.5,本科,25k-50k,核心团队,"['5', '10']","['25', '50']",31.25
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,高级零售系统工程师 （Python工程师）,4.0,本科,15k-20k,"大平台,新零售系统","['3', '5']","['15', '20']",16.25
北京领今科技有限公司,领今科技,15-50人,未融资,西城区,Python开发工程师,0.0,本科,8k-14k,"五险一金,带薪年假,周末双休,餐补",[],"['8', '14']",9.5
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,Python开发工程师,4.0,本科,15k-25k,"金融科技类,公司氛围好","['3', '5']","['15', '25']",17.5
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,4.0,大专,16k-20k,九险一金,"['3', '5']","['16', '20']",17.0
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python工程师,4.0,本科,30k-60k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资,"['3', '5']","['30', '60']",37.5
北京金风科创风电设备有限公司,金风科技,2000人以上,上市公司,大兴区,Python 开发工程师,4.0,本科,18k-35k,"五险一金,节日福利,餐补,带薪年假","['3', '5']","['18', '35']",22.25
北京知源智生信息科技有限公司,知源智生,50-150人,不需要融资,海淀区,python工程师,4.0,本科,15k-30k,"领导好,学术氛围,免费零食,弹性工作","['3', '5']","['15', '30']",18.75
北京超盟数据科技有限公司,超盟数据,50-150人,A轮,海淀区,中级python开发工程师,4.0,本科,20k-30k,"前沿领域,新市场,新机遇,新挑战","['3', '5']","['20', '30']",22.5
企鹅创新（北京）科技有限公司,企鹅创新,50-150人,天使轮,朝阳区,Python工程师,4.0,本科,15k-25k,"五险一金,带薪年假,午餐报销","['3', '5']","['15', '25']",17.5
北京中公教育科技股份有限公司,中公教育,2000人以上,未融资,海淀区,Python讲师,4.0,本科,20k-30k,"五险一金,补助","['3', '5']","['20', '30']",22.5
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,2.0,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补","['1', '3']","['15', '25']",17.5
中金中富（北京）文化传媒有限公司,中金中富,150-500人,A轮,朝阳区,Python工程师(新闻类),4.0,大专,20k-30k,"年底双薪,项目奖金,周末双休,包吃","['3', '5']","['20', '30']",22.5
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python后端工程师,4.0,本科,25k-50k,大牛多,"['3', '5']","['25', '50']",31.25
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,Python开发工程师,4.0,大专,20k-40k,"优秀团队,优秀项目","['3', '5']","['20', '40']",25.0
