公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,Python开发工程师,3-5年,本科,16k-26k,"福利待遇好,上市公司,晋升机会多,扁平化管理"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,Python开发工程师,3-5年,大专,20k-35k,"平均15薪,餐补,六险一金"
即科金融信息服务（上海）有限公司,GeexFinance,150-500人,A轮,杨浦区,Python工程师,1-3年,本科,15k-30k,有挑战
上海进馨网络科技有限公司,纳米盒,150-500人,B轮,浦东新区,Python开发工程师,3-5年,本科,15k-30k,发展前景大、工作氛围好、技术牛人多
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,Python软件开发工程师,1-3年,本科,10k-15k,"五险一金,带薪年假,弹性工作,氛围自由"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python开发,3-5年,本科,15k-30k,"五险一金,季度旅游,生日会,带薪年假"
上海丫丫信息科技有限公司,妈妈帮,50-150人,不需要融资,浦东新区,Python开发工程师,不限,本科,13k-22k,"氛围活跃,技术团队,不打卡,福利赞"
上海大岂网络科技有限公司,MoSeeker仟寻,50-150人,B轮,徐汇区,Python工程师,1-3年,本科,10k-20k,"B轮,互联网,技术氛围好,超长年假"
上海道客网络科技有限公司,DAOCLOUD,150-500人,A轮,杨浦区,Python开发工程师,3-5年,本科,20k-40k,"15天年假,5天病假,年终多薪,公司前景"
上海谷露软件有限公司,谷露软件,50-150人,A轮,黄浦区,python工程师,不限,不限,20k-40k,"奖金,包两餐,期权,不加班"
蜜柚网络科技（上海）有限公司,musical.ly,150-500人,不需要融资,黄浦区,高级Python开发工程师,3-5年,本科,25k-50k,"大牛带你飞,零食不断,过亿用户"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,徐汇区,Python 开发工程师,不限,本科,20k以上,发展空间大 期权激励 弹性工作
智慧芽信息科技（苏州）有限公司,智慧芽,150-500人,D轮及以上,闸北区,高级Python开发工程师,3-5年,本科,20k-30k,"五险一金,外企,领导好,晋升快"
威比网络科技（上海）有限公司,TutorABC英语,2000人以上,C轮,虹口区,Python工程师,1-3年,本科,15k-20k,"五险一金,早餐水果,节日福利"
上海拍拍贷金融信息服务有限公司,拍拍贷,2000人以上,上市公司,浦东新区,Python工程师,3-5年,本科,20k-35k,"团队年轻,带薪年假,弹性工作,多次调薪"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python开发师,3-5年,本科,15k-30k,"五险一金,季度旅游,节日福利,带薪年假"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,Python/R程序开发,1-3年,本科,10k-15k,"年底双薪,节日礼金,体检旅游,五险一金"
上海速石信息科技有限公司,速石科技,少于15人,天使轮,杨浦区,高级资深python开发工程师,5-10年,本科,25k-40k,"团队氛围好,公司前景好,试用期全薪,福利待遇好"
上海互趣网络科技有限公司,Amino,50-150人,C轮,静安区,Java/Python资深开发工程师,5-10年,本科,35k-70k,"团队牛人多,技术驱动,硅谷文化,期权激励"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,python开发工程师,不限,本科,10k-20k,五险一金、弹性工作制、带薪年假、内部培训
蜜柚网络科技（上海）有限公司,musical.ly,150-500人,不需要融资,黄浦区,Python开发实习生 - 短视频方向,应届毕业生,本科,4k-8k,"大牛带你飞,零食吃不完,过亿用户量,房补餐补"
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,Python开发,3-5年,本科,15k-30k,"平台大,福利好,发展快"
上海数禾信息科技有限公司,还呗-智能信贷领先者,150-500人,不需要融资,浦东新区,Python 高级开发工程师,3-5年,本科,15k-30k,"移动金融,未来金矿,精英团队,助力成长"
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,杨浦区,Python开发工程师,1-3年,本科,15k-30k,"氛围好,发展快,领导好,空间大"
上海齐家网信息科技股份有限公司,齐家网,2000人以上,上市公司,嘉定区,高级Python开发工程师,3-5年,大专,15k-30k,行业发展前景好 公司行业领先 晋升机会多
耘智信息科技（上海）有限公司,Seedlink,15-50人,A轮,静安区,Django/Python/后端开发,3-5年,本科,20k-35k,发展前景好、学习发展快
上海合合信息科技发展有限公司,名片全能王,150-500人,C轮,静安区,Python开发实习生,应届毕业生,本科,4k-6k,"大数据,人工智能,转正机会"
上海谷露软件有限公司,谷露软件,50-150人,A轮,黄浦区,python工程师（2019校园招聘）,应届毕业生,本科,15k-20k,"五险一金,包两餐,13薪,奖金多"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,Python开发,3-5年,本科,14k-26k,"行业前三,亿级平台,极客团队,无限发挥"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,长宁区,智能监控开发工程师 Java/C++/Python,3-5年,本科,28k-48k,"团队发展快,晋升机会多"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,高级python开发工程师,3-5年,本科,15k-30k,"晋升机制,上市激励,福利多多,五险一金"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,python,3-5年,本科,8k-15k,"五险一金,过节福利,生日礼金,旅游、体检"
上海游族信息技术有限公司,游族网络,500-2000人,上市公司,徐汇区,python开发工程师,不限,不限,15k-30k,"工作氛围好,专业培训,发展空间大,上市公司"
上海拍拍贷金融信息服务有限公司,拍拍贷,2000人以上,上市公司,浦东新区,Python资深专家,5-10年,本科,30k-40k,"团队年轻,带薪年假,弹性工作,发展空间大"
上海诺誉投资管理有限公司,诺誉投资,150-500人,B轮,浦东新区,python后端高级工程师,5-10年,本科,30k-40k,项目开始
上海思华科技股份有限公司,思华科技,150-500人,D轮及以上,浦东新区,Python工程师,3-5年,本科,18K-35K,弹性上班，培训机会，补充医疗，核心团队
上海汇付数据服务有限公司,汇付,500-2000人,C轮,徐汇区,运维开发工程师（Python）,1-3年,本科,14k-18k,"技术氛围好,工作环境好,福利多"
上海玖恬网络科技有限公司,玖恬科技,少于15人,不需要融资,浦东新区,Python 程序员,3-5年,不限,10k-20k,前景好
耘智信息科技（上海）有限公司,Seedlink,15-50人,A轮,静安区,Django/Python/后端开发,3-5年,本科,20k-35k,发展前景好、学习发展快
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发工程师,1-3年,本科,9k-14k,"五险一金,股票期权,年终奖金,员工旅游"
上海创远教育科技有限公司,职晓,50-150人,B轮,静安区,Python开发工程师,1-3年,本科,10k-15k,"团队氛围好,周末双休,五险一金,弹性年假"
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,浦东新区,Python工程师,3-5年,本科,18k-35k,"技术前沿,大数据平台"
魔珐（上海）信息科技有限公司,Xmov,15-50人,天使轮,徐汇区,Python后端开发工程师,3-5年,本科,15k-30k,"明星团队,顶级风投,人工智能,扁平管理"
上海懿天网络科技有限公司,Versa,15-50人,A轮,徐汇区,Python研发工程师,1-3年,不限,15k-25k,"AI,扁平化,弹性工作,交通方便"
优维科技（深圳）有限公司,优维科技,50-150人,B轮,浦东新区,Python开发工程师（上海驻场）,1-3年,本科,13k-15k,"五险一金,带薪年假,股权激励,腾讯背景"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python资深开发,3-5年,本科,12k-24k,"带薪年假,股票期权,下午茶,季度旅游"
上海游族信息技术有限公司,游族网络,500-2000人,上市公司,徐汇区,资深python开发工程师,3-5年,不限,15k-25k,"工作氛围好,发展空间大,专业培训,各种团建"
上海慧鸿国际贸易有限公司,慧鸿,50-150人,不需要融资,浦东新区,python开发工程师,3-5年,本科,15k-25k,"公司规模大,扁平管理,技术能力强,薪资待遇好"
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（Python）,1-3年,本科,8k-13k,"半年调薪,福利待遇佳,免费三餐"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,Python开发,应届毕业生,本科,6k-12k,"行业前三,金融科技,极客团队,不加班"
思满软件科技（上海）有限公司,思满科技,15-50人,不需要融资,徐汇区,Python,1-3年,本科,15K-30K,US Culture
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发高级工程师,3-5年,本科,15k-30k,"年终奖金,五险一金,股票期权,员工旅游"
全美在线（北京）教育科技股份有限公司,ATA,500-2000人,上市公司,浦东新区,python开发工程师,1-3年,本科,10k-15k,架构设计
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,Python开发工程师,1-3年,本科,8k-11k,"五险一金,周末双休,绩效奖金,弹性工作"
易玩（上海）网络科技有限公司,TapTap,50-150人,B轮,闸北区,python后端,3-5年,本科,20k-40k,薪资丰厚 年度旅游 氛围轻松
上海斗象信息科技有限公司,斗象科技,50-150人,B轮,浦东新区,高级Python后端研发工程师,3-5年,本科,15k-30k,互联网公司，弹性上班，带薪年假，期权激励
南昌力武田电子商务有限公司,力武田,少于15人,不需要融资,虹口区,Python技术经理,3-5年,不限,20k-30k,"薪资待遇好,项目稳定,回报优良"
上海健野信息科技有限公司,健野科技,少于15人,未融资,浦东新区,Python开发,3-5年,大专,11k-17k,"股权激励,大神辅导,股票期权,弹性工作"
贝壳金科控股有限公司,贝壳金服,500-2000人,未融资,黄浦区,python开发工程师,不限,本科,25k-50k,"福利好,平台大,牛人多"
深圳市拓保软件有限公司上海分公司,拓保软件,500-2000人,不需要融资,浦东新区,Python开发工程师,1-3年,大专,10k-20k,"五险一金,大平台"
上海齐家网信息科技股份有限公司,齐家网,2000人以上,上市公司,嘉定区,Python工程师,3-5年,本科,15k-30k,"上市公司,待遇好,上升空间大"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,Python后台开发,3-5年,本科,10k-16k,"五险一金,体检旅游,年终奖金,节日礼金"
携程计算机技术（上海）有限公司,携程,2000人以上,上市公司,长宁区,Python开发工程师,3-5年,本科,15k-25k,跟优秀的团队一起工作
上海享衣信息科技有限公司,好搭（虚拟试衣）,15-50人,天使轮,宝山区,资深Python开发工程师,3-5年,本科,22k-30k,"扁平管理,弹性工作,周末双休,每周按摩"
上海树融数据科技有限公司,树融科技,15-50人,天使轮,杨浦区,后端开发工程师（Python）,1-3年,本科,15k-25k,"扁平化管理,学习氛围,平衡快乐"
千言信息技术（上海）有限公司,italki,50-150人,A轮,黄浦区,Python工程师（中级）,3-5年,本科,10k-15k,"全球用户,在线教育,国际团队,福利满分"
上海睿畜电子科技有限公司,睿畜科技,15-50人,天使轮,嘉定区,Python 工程师,1-3年,本科,8k-15k,"五险一金,下午茶福利,年轻团队,高级自助餐"
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发实习生,应届毕业生,本科,5k-6k,"转正机会,免费零食,旅游,学习机会多"
深圳市房多多网络科技有限公司,房多多,2000人以上,C轮,闸北区,Python研发工程师,1-3年,本科,15k-30k,平台好，发展广阔，技术大牛多
畅想互娱（北京）科技有限公司广州分公司,畅想互娱,50-150人,上市公司,闵行区,Python开发工程师,3-5年,大专,11k-17k,"项目开发,后端"
阿基米德（上海）传媒有限公司,阿基米德fm,50-150人,B轮,长宁区,python高级大数据开发工程师,3-5年,本科,15k-30k,"福利好,学习机会多,补充公积金,商业保险"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,闵行区,python开发,1-3年,本科,15k-25k,"技术大牛,扁平管理,人工智能,弹性工作"
上海梅花信息有限公司,梅花网,50-150人,不需要融资,长宁区,Python开发工程师,1-3年,大专,8k-15k,"绩效奖金,周末双休,节日福利,轻松氛围"
上海舒加网络科技有限公司,舒加网络,15-50人,不需要融资,闵行区,Python开发工程师,1-3年,本科,10k-15k,"Linux,爬虫,内容抓取"
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python,3-5年,本科,15k-25k,轻松办公环境、无限零食、桌球、乒乓球
上海宏路数据技术股份有限公司,Hypers,50-150人,上市公司,虹口区,Python开发工程师,不限,不限,7k-14k,扁平化 成长快 氛围好
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,黄浦区,Python开发工程师,1-3年,本科,20k-40k,"六险一金,年底多薪,租房补贴,发展空间大"
上海睿畜电子科技有限公司,睿畜科技,15-50人,天使轮,嘉定区,Python 工程师,应届毕业生,本科,3k-6k,"五险一金,下午茶福利,高级自助餐,带薪年假"
南昌力武田电子商务有限公司,力武田,少于15人,不需要融资,虹口区,Python高级开发工程师,3-5年,不限,20k-30k,"薪资待遇好,项目稳定,回报优良"
飞榴（上海）信息科技有限公司,飞榴科技,15-50人,A轮,浦东新区,Python开发工程师,1-3年,本科,15k-30k,"技术挑战大,团队协作好,工作环境佳,个人成长快"
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python后端开发工程师,3-5年,本科,15k-25k,"年轻人,各种补助"
上海树融数据科技有限公司,树融科技,15-50人,天使轮,杨浦区,Python开发工程师（API接口开发）,1-3年,本科,15k-25k,"扁平化管理,学习氛围浓,大牛多"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,【​Ericsson】AAT Python/Go,不限,本科,10k-20k,"500强,外企氛围好,弹性工作,培训丰富"
亿可能源科技（上海）有限公司,亿可能源,50-150人,A轮,杨浦区,Python,3-5年,本科,15k-30k,技术大牛
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,徐汇区,资深Python研发工程师-产品变现,3-5年,本科,25k-40k,高薪期权，弹性工作，免费三餐，租房补贴
沪江教育科技（上海）股份有限公司,沪江,500-2000人,D轮及以上,浦东新区,Python后端开发工程师 (MJ001090),1-3年,大专,15k-30k,"互联网教育,团队牛,氛围佳,弹性办公"
上海朋数信息科技有限公司,朋数,150-500人,B轮,虹口区,Python数据开发,1-3年,本科,10k-15k,"带薪年假,定期体检,团队建设,氛围好"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,长宁区,Python资深开发工程师,5-10年,本科,25k-50k,"平台大,前景好,福利高,待遇好"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,运维开发（python）,3-5年,本科,15k-28k,"行业前三,亿级平台,极客团队,无限发挥"
上海我图网络科技有限公司,韩创科技,500-2000人,不需要融资,浦东新区,Python兼职,3-5年,本科,2k-3k,"时间自由,无需坐班"
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python（年轻人的狂欢）,1-3年,本科,12k-20k,轻松办公环境、无限零食、桌球、乒乓球
极翼机器人（上海）有限公司,极翼无人机,50-150人,A轮,浦东新区,python开发工程师,3-5年,本科,10k-20k,"mysql,redis,pytho"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,运维开发（python方向）,1-3年,本科,12k-24k,"亿级平台,行业前三,准上市公司,无限发挥"
上海莉莉丝科技股份有限公司,莉莉丝游戏,150-500人,不需要融资,闵行区,Python高级开发工程师,3-5年,本科,15k-25k,"零食饮料,五险一金,年终奖,境外团结"
阵印网络科技（上海）有限公司,阵印网络科技（上海）有限公司,15-50人,天使轮,长宁区,Python 后端开发工程师,3-5年,本科,20k-40k,弹性工作
上海数饮实业有限公司,爱零工,50-150人,B轮,浦东新区,Python开发,1-3年,本科,8k-15k,"五险一金,带薪年假,定期体检,团建活动"
上海思勰投资管理有限公司,思勰投资,15-50人,不需要融资,浦东新区,python开发工程师,不限,本科,12k-24k,"领导好,福利好,发展空间大,五险一金"
上海医时信息科技有限公司,上海医时,50-150人,A轮,闵行区,Python开发工程师,1-3年,本科,8k-15k,"年终绩效,股票期权,技能培训,岗位晋升"
浚皙商务咨询（上海）有限公司,vonvon,少于15人,不需要融资,长宁区,急聘python工程师,3-5年,本科,15k-25k,"不加班,环境轻松,零食无限量,国内外旅行"
上海宁澄实业有限公司,宁澄实业,50-150人,未融资,浦东新区,python工程师,不限,不限,8k-15k,"双休,旅游,交金,工作氛围好"
上海辰沅金融信息服务有限公司,辰沅金融,15-50人,A轮,浦东新区,Python高级开发工程师,1-3年,本科,15k-30k,"公司环境好,牛人聚集地,扁平化管理,晋升空间大"
再惠（上海）网络科技有限公司,再惠网络,500-2000人,B轮,长宁区,Python开发工程师,1-3年,本科,15k-30k,硅谷文化；免费餐饮；期权激励；
拉扎斯网络科技（上海）有限公司,饿了么,2000人以上,D轮及以上,普陀区,Python高级开发工程师,3-5年,本科,15k-30k,团队好玩 快速成长 Aeron椅 标配MBP
威廉欧奈尔信息科技（上海）有限公司,威廉欧奈尔中国,15-50人,未融资,浦东新区,Python软件开发工程师,1-3年,本科,8k-15k,"五险一金,周末双休,定期体检,下午茶"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,浦东新区,Python开发工程师（上海）,不限,本科,15k-30k,世界50强 节日福利 绩效丰厚
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python（年轻人的狂欢）,1-3年,本科,12k-20k,"五险一金,氛围佳,年度旅游,福利好"
中传众悦(上海)企业发展有限公司,中传众悦,50-150人,不需要融资,浦东新区,Python,1-3年,不限,10k-20k,"带薪年假,发展空间大,岗位晋升"
上海云深网络技术有限公司,云深网络,15-50人,A轮,浦东新区,Python开发工程师,1-3年,本科,7k-14k,福利多多
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,python 开发工程师,1-3年,本科,7k-10k,"弹性工作,办公环境好,福利好,500强"
上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,浦东新区,python开发,3-5年,本科,10k-18k,"公积金全额,年终奖,平台,大牛"
沪江教育科技（上海）股份有限公司,沪江,500-2000人,D轮及以上,浦东新区,Python后端开发工程师 (MJ000606),3-5年,本科,15k-30k,互联网教育独角兽 上市前夕 团队牛
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,浦东新区,Python开发工程师（上海）,不限,本科,10k-15k,公司发展前景好，福利待遇好
上海辰沅金融信息服务有限公司,辰沅金融,15-50人,A轮,浦东新区,Python高级工程师,1-3年,本科,15k-30k,"公司环境好,牛人聚集地,扁平化管理,晋升空间大"
上海量讯电子商务有限公司,UPAPP,15-50人,未融资,徐汇区,Python软件开发工程师,1-3年,本科,7k-13k,"物联网,牛人指导,晋升空间大,14薪"
宏居网络技术（上海）有限公司,Juwai,50-150人,B轮,虹口区,Python开发／后端软件工程师.,5-10年,本科,20k-30k,氛围好
上海寻梦信息技术有限公司,拼多多,2000人以上,上市公司,长宁区,高级Python开发工程师,1-3年,本科,20k-40k,"福利好,大牛多,成长快"
上海易路软件有限公司,易路,50-150人,A轮,闵行区,Python高级开发工程师,3-5年,本科,15k-20k,弹性工作，带薪年假，股权激励机会。
上海魔芋网络科技有限公司,性能魔方,50-150人,上市公司,黄浦区,python开发工程师,1-3年,本科,15k-25k,"牛人多,技术驱动,发展前景好"
上海小零网络科技有限公司,上海小零网络科技有限公司爱零工,50-150人,B轮,浦东新区,Python开发,1-3年,本科,8k-15k,"五险一金,带薪年假,定期体检,团建活动"
上海担路网络科技有限公司,担路网,15-50人,未融资,松江区,Python工程师-SEO经验者优先,不限,本科,6k-12k,"年轻团队,年终分红,晋升空间大,待遇从优"
北京量子金服网络科技有限公司,量子金服,50-150人,B轮,浦东新区,Python研发工程师,3-5年,本科,15k-30k,"金融,统计"
上海亦存网络科技有限公司,坚果云,50-150人,不需要融资,浦东新区,高级Python开发,3-5年,本科,20k-40k,"技术大牛,团队氛围好,扁平管理"
上海图尚影像科技有限公司,图超市,150-500人,B轮,徐汇区,Python,1-3年,本科,20k-40k,Pytho
上海佰颂物联网科技有限公司,佰颂,15-50人,A轮,闵行区,python开发工程师,1-3年,本科,10k-20k,"五险一金,晋升空间,扁平管理,周末双休"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,高级Python开发工程师,3-5年,本科,25k-50k,六险一金，餐补，租房补贴，带薪休假，休闲下午茶，过亿用户，职业大牛，团队氛围好，优厚薪资
上海寰享网络科技有限公司,ELICO-CORP,15-50人,未融资,长宁区,Python开发/Odoo开发,1-3年,大专,10k-20k,Python
上海帛钥智能科技有限公司,帛钥智能,少于15人,天使轮,浦东新区,Python高级开发工程师,5-10年,大专,15k-25k,"朝气团队,积极氛围,快乐工作,福利补贴"
上海易路软件有限公司,易路,50-150人,A轮,,Python中级开发工程师,1-3年,本科,10k-18k,高薪福利，弹性工作，五险一金
千言信息技术（上海）有限公司,italki,50-150人,A轮,黄浦区,初级 Python工程师,1-3年,本科,8k-12k,"全球用户,在线教育,国际团队,福利满分"
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,Python（Tools Dev）,3-5年,本科,15k-22k,"五险一金,周末双休,绩效奖金,带薪年假"
上海邻我信息技术有限公司,邻我科技,少于15人,天使轮,徐汇区,Python开发工程师,不限,大专,4k-7k,关注成长
上海触乐信息科技有限公司,触宝,150-500人,上市公司,徐汇区,后端开发工程师（Python）,1-3年,本科,15k-25k,"业内独角兽,团队扁平,水果下午茶"
上海宏原信息科技有限公司,MarcPoint,15-50人,A轮,徐汇区,Python中级开发工程师,1-3年,本科,9k-18k,"优秀团队,快速成长,弹性工作,零食饮料"
北京来也网络科技有限公司,助理来也,50-150人,B轮,徐汇区,Python开发工程师,3-5年,本科,15k-30k,"发展空间,大牛交流,五险一金,福利补贴"
上海安则信息科技有限公司,上海安则,50-150人,未融资,松江区,Python,1-3年,大专,10k-20k,数据库
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,高级Python开发工程师--抖音上海,3-5年,本科,25k-50k,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资
上海联元智能科技有限公司,联元智能科技,50-150人,A轮,闵行区,Python开发工程师,1-3年,本科,10k-20k,"补充公积金,绩效奖金,弹性工作"
亚创（上海）工程技术有限公司,亚创,150-500人,不需要融资,长宁区,Python开发工程师,3-5年,本科,10k-20k,"做五休二,带薪年假,免费体检,13薪"
亿可能源科技（上海）有限公司,亿可能源,50-150人,A轮,杨浦区,高级Python开发,5-10年,本科,25k-35k,"部门负责人,核心成员"
浚皙商务咨询（上海）有限公司,vonvon,少于15人,不需要融资,长宁区,Python,3-5年,本科,15k-25k,工作环境轻松，不加班，零食无限量供应。
上海触乐信息科技有限公司,触宝,150-500人,上市公司,徐汇区,高级数据平台开发工程师-Python方向,3-5年,本科,25k-40k,"美股上市,牛人指导,福利待遇佳"
上海衣脉信息科技有限公司,衣脉科技,50-150人,B轮,宝山区,高级Python工程师,5-10年,本科,20k-40k,"周末双休,弹性时间,带宠物上班,扁平化管理"
上海烨睿信息科技有限公司,虎博科技,50-150人,A轮,长宁区,高级Python开发工程师,3-5年,本科,16k-32k,"硅谷大牛,股权激励,绩效奖金,弹性工作"
上海婀娜信息科技有限公司,Queen女王,15-50人,天使轮,松江区,Python开发,1-3年,本科,10k-20k,"潜力项目,优秀团队,周末双休,撸猫撸狗"
上海云盾信息技术有限公司,云盾,50-150人,A轮,闵行区,Python/Java/Php/GO 开发工程师,应届毕业生,本科,5k-10k,"90团队,技术氛围好,单纯无斗争,学习型团队"
上海铂淼信息科技有限公司,铂淼,15-50人,未融资,徐汇区,高级Python开发工程师（18-30K+期权）,3-5年,本科,18k-30k,"高薪,期权"
上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,浦东新区,Python开发（工具类技术开发，浦东广兰路）,3-5年,本科,12k-20k,"项目奖金,年终奖,全额公积金"
上海医时信息科技有限公司,上海医时,50-150人,A轮,闵行区,高级Python研发工程师,5-10年,本科,15k-25k,"股票期权,岗位晋升,职业发展,弹性福利"
