公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
上海一条网络科技有限公司,一条视频,150-500人,C轮,徐汇区,Python后台工程师,1-3年,本科,8k-12k,"短视频,电商,13薪"
上海辰沅金融信息服务有限公司,辰沅金融,15-50人,A轮,浦东新区,Python资深工程师,1-3年,本科,15k-30k,"公司环境好,扁平化管理,牛人聚集地,晋升空间大"
浚皙商务咨询（上海）有限公司,vonvon,少于15人,不需要融资,长宁区,急聘python攻城狮,3-5年,本科,15k-25k,"不加班,环境轻松,零食无限量,出国旅行"
上海触乐信息科技有限公司,触宝,150-500人,上市公司,徐汇区,后端开发工程师（Python）,3-5年,本科,25k-45k,"行业独角兽,牛人团队,环境极客,福利待遇佳"
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,长宁区,Python高级开发工程师,3-5年,本科,20k-30k,创新的就业平台
上海牛咖信息科技有限公司,牛咖,15-50人,A轮,普陀区,python高级开发工程师,1-3年,本科,10k-20k,"技术大牛,弹性工作,领导耐撕,奖金丰厚"
上海寰享网络科技有限公司,ELICO-CORP,15-50人,未融资,长宁区,Python中级/Odoo开发,1-3年,大专,10k-20k,Python
再惠（上海）网络科技有限公司,再惠网络,500-2000人,B轮,长宁区,高级python工程师,5-10年,本科,20k-40k,"免费参与,业界大牛,弹性工作"
恒羿网络科技（上海）有限公司,Glow,15-50人,B轮,黄浦区,Python后端开发工程师,1-3年,本科,15k-30k,"产品优秀,团队出色,硅谷背景,注重技术"
明码 (上海) 生物科技有限公司,WuXiNextCODE,50-150人,上市公司,浦东新区,Python Developer,3-5年,本科,15k-30k,"平台大,奖金"
上海闵行区青悦环保信息技术服务中心,上海青悦,少于15人,不需要融资,松江区,"python,微信小程序实习开发工程师",不限,不限,3k-5k,"直接上手,实际经验,自由度大"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,python后端开发,应届毕业生,硕士,6k-12k,"行业前三,金融科技,即将上市,无限成长"
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,浦东新区,架构师(Python技术架构),5-10年,本科,20k-40k,"技术前沿,大数据平台,人工智能,商业+技术"
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（python自动化运维）,1-3年,本科,7k-12k,"绩效奖金,三餐福利,半年调薪,上市公司"
深圳狗尾草智能科技有限公司,狗尾草智能科技,150-500人,A轮,静安区,高级Python工程师,3-5年,本科,15k-30k,"氛围好,福利优,牛人多,成长快"
升宝节能技术（上海）有限公司,外资-升宝,50-150人,B轮,浦东新区,Python 后台工程师,1-3年,不限,7k-12k,"绩效奖金,弹性工时,节日福利,五险一金"
上海米开罗那机电技术有限公司,米开罗那,150-500人,不需要融资,浦东新区,Python初级工程师,不限,本科,5k-9k,"包食宿,节假日福利,员工旅游,五险一金"
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（python自动化运维）,1-3年,本科,6k-8k,"奖金绩效,免费三餐,团队旅游"
深圳狗尾草智能科技有限公司,狗尾草智能科技,150-500人,A轮,静安区,高级Python开发工程师,3-5年,本科,20k-40k,"年终多薪,项目奖金,车补餐补,两次调薪"
上海豪驴商务咨询有限公司,豪驴出行,少于15人,天使轮,徐汇区,高级Python开发工程师,3-5年,本科,15k-25k,"高薪,扁平化管理,期权"
上海亚安信息技术有限公司,亚安,50-150人,不需要融资,虹口区,Python开发工程师（驻场）,1-3年,大专,8k-12k,"福利好,薪酬高"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,Python开发实习生-短视频方向,不限,本科,4k-8k,弹性工作，餐补，租房补贴，休闲下午茶，扁平管理，过亿用户，职业大牛，团队氛围好，优厚薪资
上海睿鱼网络科技中心,睿鱼科技,少于15人,未融资,闵行区,Python高级工程师,3-5年,不限,15k-28k,"地段优越,氛围好,可玩技术多,能力提升快"
赫里普（上海）信息科技有限公司,Hileap,15-50人,A轮,杨浦区,Python 数据开发工程师,1-3年,本科,10k-18k,"挑战性,环境好,技术氛围好"
高知特信息技术(上海)有限公司,高知特,2000人以上,上市公司,虹口区,ETL/Python Developer,3-5年,大专,12k-22k,"六险一金,绩效奖金,13薪"
上海昌投网络科技有限公司,长投网,50-150人,未融资,浦东新区,python实习生,应届毕业生,本科,3k-4k,"氛围轻松,人性化管理,带薪年假,年终奖"
上海七炅信息科技有限公司,七炅信息,15-50人,A轮,浦东新区,Python 数据平台工程师,3-5年,本科,20k-35k,"扁平结构,时间灵活,股权激励,同时老板好"
上海金灯台信息科技有限公司,金灯台信息,少于15人,未融资,浦东新区,高级Python开发工程师,5-10年,本科,25K-50K,平台大，牛人多，福利好
再惠（上海）网络科技有限公司,再惠网络,500-2000人,B轮,长宁区,后端（Python）开发工程师,1-3年,本科,16k-32k,硅谷文化；免费餐饮；期权激励；
亿微征信服务有限公司,亿微征信,50-150人,不需要融资,浦东新区,python 后端工程师,1-3年,大专,15k-30k,"Pytho,java,Pytho,后端"
上海触乐信息科技有限公司,触宝,150-500人,上市公司,徐汇区,资深python后端开发工程师,3-5年,本科,20k-40k,"10亿用户,行业独角兽,技术驱动,发展空间大"
上海思华科技股份有限公司,思华科技,150-500人,D轮及以上,浦东新区,云计算开发工程师（Python）,3-5年,本科,12k-24k,六险一金 带薪病事假
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（python方向）,1-3年,大专,7k-12k,"半年调薪,三餐福利,专业培训,上市公司"
领扣网络（上海）有限公司,LeetCode 领扣,15-50人,未融资,普陀区,后端开发工程师（Django）,3-5年,本科,18k-29k,"年底双薪,绩效奖励,工作环境优,扁平式管理"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,【Ericsson】Python软件工程师（全栈）,1-3年,本科,9k-16k,"管理人性化,外企氛围,带薪年假,六险一金"
上海七炅信息科技有限公司,七炅信息,15-50人,A轮,浦东新区,Python 后端开发工程师,3-5年,本科,15k-30k,"扁平结构,工程师文化,股权激励,老板同事好"
上海我图网络科技有限公司,韩创科技,500-2000人,不需要融资,浦东新区,python实习生,不限,大专,2k-4k,"互联网文化,薪资福利好,学习文化,发展空间大"
力扣信息科技（上海）有限公司,LeetCode 中国,15-50人,未融资,普陀区,后端开发工程师 (Django）,3-5年,本科,18k-29k,"年底双薪,绩效奖励,工作环境优,扁平式管理"
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,黄浦区,Python后端工程师,1-3年,本科,20k-40k,"年底多薪,六险一金,租房补贴,发展空间大"
明码 (上海) 生物科技有限公司,WuXiNextCODE,50-150人,上市公司,浦东新区,Python运维工程师,3-5年,本科,15k-30k,平台大
美瑞美高意投资咨询（上海）有限公司,金房本,少于15人,天使轮,静安区,资深Python后端开发员,3-5年,本科,20k-35k,"双休,创业公司,英文沟通,国际团队"
秒针信息技术有限公司,秒针系统,500-2000人,D轮及以上,长宁区,大数据（Python）工程师（实习生）,不限,本科,3k-5k,"工作氛围好,带薪年假"
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,python后端开发,3-5年,本科,15k-20k,"500强,福利待遇好,弹性工作制"
上海元长信息技术有限公司,斑马钱包,15-50人,天使轮,,python后端,3-5年,本科,15K-25K,区块链行业，潜力无限！
上海拍拍贷金融信息服务有限公司,拍拍贷,2000人以上,上市公司,浦东新区,【2019校招】数据工程师（Python）,应届毕业生,本科,11k-15k,"氛围好,待遇佳,成长空间大"
神州数码通用软件（北京）有限公司,神州数码通用软件,500-2000人,不需要融资,徐汇区,自动化测试工程师（Python 编号05）,1-3年,大专,8k-12k,"五险一金,环境好"
百姓网股份有限公司,百姓网,500-2000人,上市公司,徐汇区,架构部—高级Python开发工程师,3-5年,本科,18k-36k,"技术氛围,福利优"
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（python自动化运维）,1-3年,本科,6k-12k,"美味三餐,半年调薪,福利待遇佳"
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,Python (Service Dev),3-5年,本科,15k-20k,"500强,福利待遇好,弹性工作制"
北京乐博乐博教育科技有限公上海分公司,乐博乐博机器人学校,500-2000人,上市公司,浦东新区,Python编程教学,不限,本科,5K-8K,"五险一金,带薪培训,超长年假"
上海尼遨信息科技有限公司,NEO,150-500人,不需要融资,杨浦区,区块链开发工程师 – Python,5-10年,本科,20k-40k,"带薪年假,年度旅游,季度奖金,无限零食"
上海优帕克企业发展有限公司,上海优帕克企业发展有限公司,150-500人,B轮,静安区,Python数据工程师,不限,本科,11k-22k,"地铁周边,美女如云,绩效奖金,领导nic"
上海合阔信息技术有限公司,合阔信息,15-50人,A轮,长宁区,python开发工程师（SAAS云平台研发）,1-3年,不限,12k-24k,"技术氛围好,团队牛X,公司产品棒,薪资待遇优"
上海懿天网络科技有限公司,Versa,15-50人,A轮,徐汇区,Python图像处理开发工程师,1-3年,本科,15k-25k,"AI,扁平化,弹性工作制,交通方便"
上海无学网络科技有限公司,www.91wuxue.cn,15-50人,天使轮,徐汇区,高级scratch\python课程设计师,不限,本科,15k-25k,"环境好,进取心,灵活"
上海盈讯科技股份有限公司,网贷之家,150-500人,B轮,杨浦区,高级Python爬虫工程师,1-3年,不限,12k-24k,"晋升通道,年底双薪,绩效奖金,培训机会"
糖小护健康科技（上海）有限公司,糖小护,15-50人,不需要融资,黄浦区,资深Python后端开发/架构师,5-10年,本科,15k-30k,"餐补,交补,带薪年假,年终奖"
百姓网股份有限公司,百姓网,500-2000人,上市公司,徐汇区,广告—高级python工程师,1-3年,本科,15k-30k,工程师文化
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python网络爬虫开发（实习）,不限,本科,4k-5k,学习机会多；免费零食;优秀者毕业可留用
上海证大喜马拉雅网络科技有限公司,喜马拉雅,500-2000人,D轮及以上,浦东新区,Java／Python高级开发职责描述（爬虫方向）,3-5年,本科,15k-28k,"音频独角兽,发展平台,弹性工作,技术大牛"
上海勃池信息技术有限公司,探知数据,50-150人,天使轮,静安区,高级爬虫工程师（Python、Java、go、C#,3-5年,本科,15k-30k,"年底多薪,期权激励,不定时团建,弹性工作"
金车信息科技（上海）有限公司,金车高效运营系统,少于15人,天使轮,嘉定区,python高级爬虫工程师,3-5年,不限,13k-20k,"薪资不设限,工作弹性,不打卡"
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,Python（Service Dev）,3-5年,本科,15k-22k,"周末双休,绩效奖金,弹性工作,五险一金"
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,Java爬虫工程师（ Python）,3-5年,本科,15k-25k,"五险一金,绩效奖金,免费三餐,员工旅游"
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,杨浦区,基础平台研发工程师（机器学习/深度学习方向）,3-5年,本科,20k-40k,"公司好,发展快,氛围好,领导好"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,后端开发实习生（Java/Golang/Python）-短视频方向,不限,本科,4k-8k,弹性工作，餐补，租房补贴，休闲下午茶，扁平管理，过亿用户，职业大牛，团队氛围好，优厚薪资
上海拍拍贷金融信息服务有限公司,拍拍贷,2000人以上,上市公司,浦东新区,测试开发资深专家（研发-测试）,5-10年,本科,25k-45k,"智慧金融,扁平管理,上市公司,团队好"
上海信砥信息科技有限公司,安兑_信砥信息科技,50-150人,B轮,长宁区,GO语言工程师,1-3年,本科,15k-20k,"午餐补贴,发展空间大,氛围好,领导好"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,浦东新区,算法技术专家（NLP）,不限,硕士,30k-60k,"专注NLP,技术牛人多,准独角兽,期权"
上海初生网络科技有限公司,Rela热拉-多元女性社区,50-150人,B轮,黄浦区,Go软件工程师,3-5年,本科,15k-25k,期权鼓励，弹性工作，领导好，五险一金
同程网络科技股份有限公司,同程艺龙,2000人以上,D轮及以上,浦东新区,高级研发经理(java方向),5-10年,本科,20k-35k,"电商,旅游"
海宁思核科技有限公司,思核科技,50-150人,B轮,徐汇区,高级GO工程师,3-5年,本科,25k-35k,"技术氛围好,技术强大,人工智能,薪资待遇好"
上海物融智能科技有限公司,物融科技,15-50人,不需要融资,闵行区,GO软件开发师,不限,本科,15k-30k,"高薪多福利,发展机会多,股权激励"
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,Go语言开发,3-5年,本科,15k-30k,"平台大,福利好,发展快"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,徐汇区,技术研发工程师,3-5年,本科,20k以上,发展空间大 期权激励 弹性工作
招商银行股份有限公司信用卡中心,招商银行信用卡中心,2000人以上,上市公司,浦东新区,信息安全技术经理（应用安全）,3-5年,本科,25k-40k,"职位晋升,年终奖,年度体检,年度旅游"
口碑（杭州）信息技术有限公司,阿里口碑,2000人以上,不需要融资,浦东新区,口碑-数据研发专家（风控方向）,3-5年,本科,20K-40K,"大数据,风控,O2O"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,浦东新区,算法技术专家（推荐引擎）,不限,硕士,30k-60k,"牛人多,氛围佳,期权,准独角兽"
海深科技（宁波）有限公司,海深科技,15-50人,A轮,浦东新区,软件开发工程师,1-3年,本科,14k-25k,"年终多薪,技术大牛,周末双休,福利好"
上海商米科技有限公司,商米科技,150-500人,C轮,杨浦区,DBA数据库工程师(OS平台研发部）,3-5年,本科,15k-30k,"技术大牛,技术氛围浓,变平化管理,年假病假"
北京瑞达恒建筑咨询有限公司广州分公司,北京瑞达恒建筑咨询有限公司广州分公司,500-2000人,未融资,黄浦区,资深研发工程师/技术专家,3-5年,本科,15k-30k,"有活力,发展空间大,福利好,BOSS好"
上海萌店信息科技有限公司,微盟,2000人以上,D轮及以上,宝山区,测试开发工程师（MAS Tech）,3-5年,本科,15k-25k,"领导nic,扁平管理,奖金补贴,年假福利"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,安全开发工程师,3-5年,本科,18k-28k,"氛围好,福利多"
上海七牛信息技术有限公司,七牛云,500-2000人,D轮及以上,浦东新区,DevOps研发工程师（docker/k8s）,3-5年,本科,15k-30k,"容器,六险一金,弹性上班"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,浦东新区,技术风险平台技术专家(P7)/高级专家(P8),5-10年,本科,25k-50k,"千万级规模,数据驱动,扁平管理,期权激励"
上海优刻得信息科技有限公司,UCloud,500-2000人,D轮及以上,杨浦区,容器服务研发工程师,3-5年,大专,20k-40k,"六险一金,领导好,独角兽公司,弹性工作"
上海氪信信息技术有限公司,CreditX,50-150人,B轮,长宁区,研发工程师,不限,本科,10k-20k,"工程师文化,精英团队,弹性工作制,扁平管理"
上海方付通商务服务有限公司,方付通,150-500人,不需要融资,浦东新区,数据开发工程师,3-5年,本科,15k-30k,"大牛团队,福利待遇好,奖金完善"
上海鸣勃网络科技有限公司,mingbo,15-50人,不需要融资,长宁区,后端开发工程师,1-3年,本科,9K-18K,"福利待遇好,弹性时间,氛围好,期权奖励"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,数据分析与开发工程师,3-5年,本科,15k-30k,"六险一金,餐补,平均15薪"
上海斗象信息科技有限公司,斗象科技,50-150人,B轮,浦东新区,后端研发工程师,3-5年,本科,15k-30k,"互联网公司,弹性上班,带薪年假,期权激励"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,徐汇区,软件开发工程师,3-5年,本科,15k-30k,发展空间大 平台好 弹性工作
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,浦东新区,算法技术专家（知识图谱/搜索）,不限,硕士,30k-60k,"AI牛人多,专注NLP,准独角兽,期权"
上海萌店信息科技有限公司,微盟,2000人以上,D轮及以上,浦东新区,Android应用开发工程师,1-3年,本科,15k-25k,开发工程师
海深科技（宁波）有限公司,海深科技,15-50人,A轮,浦东新区,后端开发工程师,1-3年,本科,15k-25k,"年底多薪,技术大牛,名校名公司"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,测试开发工程师,3-5年,本科,15k-25k,福利待遇好 发展前景佳
上海优刻得信息科技有限公司,UCloud,500-2000人,D轮及以上,杨浦区,数据产品开发工程师,3-5年,大专,20k-40k,"六险一金,领导好,独角兽公司,弹性工作"
普强信息技术（北京）有限公司,普强信息,150-500人,C轮,徐汇区,TTS研发工程师,不限,本科,10k-20k,"牛人多,AI行业"
上海合合信息科技发展有限公司,名片全能王,150-500人,C轮,静安区,算法研发工程师,1-3年,本科,15k-25k,"技术牛人多,工作氛围好,工作环境佳,领导好"
钱咖网络科技（上海）有限公司,钱咖,50-150人,不需要融资,黄浦区,数据开发工程师,3-5年,本科,15k-20k,"福利好,待遇佳,扁平管理,晋升空间大"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,算法开发工程师,3-5年,本科,25k-50k,"技术氛围好,发展空间大,15薪起"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,大数据开发工程师,3-5年,大专,10k-17k,"福利待遇好,交通便利"
上海盛付通电子支付服务有限公司,盛付通,150-500人,不需要融资,浦东新区,资深andriod开发,3-5年,本科,20k-30k,"弹性工作,福利待遇好,技术驱动,千万级用"
上海织语网络科技有限公司,CC work 织语,50-150人,天使轮,普陀区,服务器开发工程师,3-5年,本科,20k-25k,"奖金高,领导好,美女多,绩效奖金"
挖财网络技术有限公司,挖财,500-2000人,D轮及以上,浦东新区,技术风险研发专家-上海-00933,3-5年,本科,20k-40k,公司福利好，团队气氛佳
上海天壤智能科技有限公司,天壤智能,50-150人,A轮,长宁区,系统研发工程师,3-5年,本科,20k-40k,"带薪年假,免费零食"
上海互趣网络科技有限公司,Amino,50-150人,C轮,静安区,资深后端开发工程师,3-5年,本科,40k-70k,"团队牛人多,极客文化,弹性工作,股票期权"
上海萌店信息科技有限公司,微盟,2000人以上,D轮及以上,宝山区,爬虫开发工程师,3-5年,不限,18k-30k,"平台好,业务新,福利好"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,大数据开发工程师,3-5年,不限,15k-25k,"前沿技术,发展空间大,PB级数据"
上海优刻得信息科技有限公司,UCloud,500-2000人,D轮及以上,杨浦区,大数据产品研发工程师,3-5年,本科,25k-35k,"六险一金,领导好,独角兽公司,弹性工作"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,浦东新区,数据开发工程师,1-3年,本科,15k-25k,"六险一金,发展空间大,人工智能,团队优秀"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,大数据开发工程师,不限,大专,10k-18k,"旅游,体检,过节费,年终奖"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,长宁区,监控系统开发工程师,3-5年,本科,20k-30k,平台大
上海速石信息科技有限公司,速石科技,少于15人,天使轮,杨浦区,技术支持工程师,1-3年,本科,15k-25k,"精英团队,先进项目,环境优越,试用期全薪"
Infor恩富软件,The largest startup company in IT domain,150-500人,不需要融资,黄浦区,研发软件工程师,3-5年,硕士,20k-25k,"弹性时间,运动,跨国团队"
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,浦东新区,后台服务开发工程师,3-5年,本科,10k-20k,"公司好,氛围好,领导好,发展快"
上海郡码智能科技有限公司,上海郡码智能科技有限公司,50-150人,天使轮,徐汇区,HMI开发工程师,1-3年,本科,15k-20k,"弹性上班,六险一金,餐补,交通补"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,容器云开发工程师,3-5年,大专,20k-40k,"平均15薪,餐补,六险一金"
上海帆一尚行科技有限公司,上汽云计算中心,50-150人,不需要融资,浦东新区,容器开发工程师,不限,本科,20K-40K,业内首家汽车云
上海鋆创信息技术有限公司,易居中国-创新研发中心,2000人以上,上市公司,闸北区,ETL开发工程师,3-5年,本科,15k-20k,"大数据,团队氛围好,技术分享,福利优厚"
申通快递有限公司,申通快递,2000人以上,上市公司,青浦区,安全开发工程师,1-3年,大专,15k-25k,"五险一金,周末双休,提供住宿,年终奖励"
深兰科技（上海）有限公司,深兰科技,150-500人,B轮,长宁区,C#开发工程师,3-5年,本科,20k-35k,"扁平化管理,晋升空间大"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,前端开发工程师,5-10年,本科,15k-25k,"平台好,福利好"
上海萌店信息科技有限公司,微盟,2000人以上,D轮及以上,宝山区,运维开发工程师,3-5年,本科,13k-26k,"公司前景好,发展空间大"
上海优刻得信息科技有限公司,UCloud,500-2000人,D轮及以上,杨浦区,后台研发工程师,3-5年,本科,25k-35k,"产品新颖,发展空间大,技术前沿,高速发展"
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,杨浦区,高级服务端开发工程师,1-3年,本科,15k-25k,"年终奖,六险一金,互联网,上市公司"
上海合合信息科技发展有限公司,名片全能王,150-500人,C轮,静安区,后端开发工程师,1-3年,本科,13k-26k,"4亿用户,团队氛围好,发展空间大"
威比网络科技（上海）有限公司,TutorABC英语,2000人以上,C轮,虹口区,高级Devops开发工程师,3-5年,本科,15k-30k,"五险一金,带薪休假,咖啡水果"
上海喔噻互联网科技有限公司,喔噻科技,500-2000人,B轮,普陀区,技术保障高级工程师,5-10年,本科,20k-40k,"平台大,牛人多,福利好"
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,徐汇区,Senior后端开发工程师（系统开发工程师）,5-10年,本科,20k-40k,"优秀团队,发展机会多"
上海汇绿电子商务有限公司,绿智汇,50-150人,A轮,杨浦区,前端工程师,3-5年,大专,10k-15k,"高绩效,高项目奖金,企业年金,补充公积金"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,大数据开发工程师,3-5年,本科,20k-40k,"弹性工作,平均16薪,扁平化管理,工作氛"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,嘉定区,安全开发工程师,1-3年,本科,20k-30k,"股票期权,补充公积金,免费班车,年底双薪"
杭州橙鹰数据技术有限公司,橙鹰,150-500人,不需要融资,闵行区,资深数据开发工程师,3-5年,不限,15k-30k,"阿里旗下,氛围好"
上海天壤智能科技有限公司,天壤智能,50-150人,A轮,长宁区,研发工程师,3-5年,本科,25k-50k,"AI,人工智能,大数据"
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,DBA开发工程师,3-5年,本科,20k-40k,"平台大,福利好,发展快,氛围融洽"
上海青客公共租赁住房租赁经营管理股份有限公司,上海青客,500-2000人,C轮,徐汇区,net工程师,3-5年,本科,15k-25k,年终奖，项目奖，住房补贴，国资背景
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,虹口区,测试开发工程师,3-5年,本科,15k-30k,福利棒棒哒
晋松（上海）网络信息技术有限公司,享换机,50-150人,A轮,杨浦区,BI开发工程师,1-3年,本科,15k-20k,"14薪,期权,多次调薪"
杭州橙鹰数据技术有限公司,橙鹰,150-500人,不需要融资,闵行区,资深数据仓库开发工程师,3-5年,不限,15k-30k,"阿里旗下,氛围好"
上海阜凡软件有限公司,上海阜凡软件有限公司,150-500人,天使轮,闵行区,上海-大数据开发工程师,3-5年,本科,25k-35k,大数据科技
上海青客公共租赁住房租赁经营管理股份有限公司,上海青客,500-2000人,C轮,徐汇区,net开发工程师,3-5年,本科,16k-25k,"年终奖,项目奖,餐补,年休"
上海微问家信息技术有限公司,爱客CRM,150-500人,B轮,浦东新区,nodejs后端开发工程师,1-3年,本科,12k-24k,"五险一金,年终奖金,弹性工作,周末双休"
上海客佳信息科技有限公司,客佳,50-150人,不需要融资,浦东新区,Web/H5高级软件工程师,3-5年,本科,15k-25k,"五险一金,子女福利,团建活动,氛围好"
中国银联股份有限公司,中国银联,2000人以上,不需要融资,浦东新区,应用开发工程师,3-5年,本科,25k-50k,"平台大,晋升机制,国有企业,工作氛围好"
上海乐言信息科技有限公司,乐言科技,50-150人,A轮,徐汇区,后台研发工程师,3-5年,本科,20k-40k,"上升空间大,顶尖团队,免费午餐,公司福利好"
上海成龙五谷信息科技有限公司,鲜驰达,2000人以上,不需要融资,浦东新区,中级前端工程师,3-5年,本科,10k-20k,"css,软件工程师,前端开发,html"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,静安区,JAVA工程师,不限,本科,8k-16k,"福利待遇好,交通便利"
上海锐赢信息技术有限公司,锐赢企业,150-500人,不需要融资,浦东新区,大数据开发工程师,3-5年,大专,15k-25k,"交通便利,环境好,五险一金,带薪年假"
