公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
上海万间信息技术有限公司,巴乐兔,2000人以上,C轮,浦东新区,中级开发工程师,3-5年,大专,10k-15k,"平台大,空间大,领导好,福利好"
上海风创信息咨询有限公司,海风教育,2000人以上,C轮,普陀区,大数据开发工程师,3-5年,本科,25k-35k,氛围好
北京瑞达恒建筑咨询有限公司广州分公司,北京瑞达恒建筑咨询有限公司广州分公司,500-2000人,未融资,黄浦区,研发工程师,3-5年,本科,15k-30k,"五险一金,年底双薪,绩效奖,绩效奖金"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,数据仓库开发工程师,3-5年,本科,15k-25k,PB级企业数仓、宽广的施展空间
上海青客公共租赁住房租赁经营管理股份有限公司,上海青客,500-2000人,C轮,徐汇区,net高级开发工程师,3-5年,大专,15k-25k,年终奖，项目奖，住房补贴，办公环境
晋松（上海）网络信息技术有限公司,享换机,50-150人,A轮,杨浦区,ETL开发工程师,1-3年,本科,15k-20k,"14薪,多次调薪,期权,绩效奖金"
上海叶道科技有限公司,叶道科技,50-150人,B轮,徐汇区,高级测试开发工程师,3-5年,本科,12k-24k,"五险一金,多次涨薪,弹性工作,年终福利"
北京满运物流信息有限公司,运满满,500-2000人,D轮及以上,长宁区,算法开发工程师,5-10年,硕士,40k-65k,"阿里系,期权,扁平管理"
上海氪信信息技术有限公司,CreditX,50-150人,B轮,黄浦区,测试开发工程师,3-5年,本科,15k-25k,"弹性工作,精英团队,福利优厚,超长年假"
阿基米德（上海）传媒有限公司,阿基米德fm,50-150人,B轮,长宁区,大数据开发工程师,5-10年,本科,20k-28k,"薪酬福利好,扁平化管理"
上海脉豪商务信息咨询有限公司,眸事网,150-500人,天使轮,虹口区,大数据开发工程师,1-3年,本科,15k-20k,"互联网公司,大数据AI,团队牛人多,弹性福利好"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,大数据开发工程师,3-5年,大专,10k-20k,"体检,旅游,过节费,年终奖"
上海欢尚电子商务有限公司,闪电降价APP,150-500人,B轮,闸北区,运维开发工程师,3-5年,本科,20k-30k,"亿万级流水,平台大"
完美世界（北京）软件科技发展有限公司,完美世界,2000人以上,上市公司,杨浦区,数据开发工程师(4753),3-5年,本科,16k-30k,"游戏大平台,大数据"
深圳追一科技有限公司,追一科技,150-500人,B轮,长宁区,后台开发工程师（数据方向） (MJ000156),3-5年,本科,18k-36k,"AI风口,人工智能,成长空间,带薪年假"
上海锐赢信息技术有限公司,锐赢企业,150-500人,不需要融资,浦东新区,大数据开发工程师,3-5年,本科,15k-25k,"靠近地铁站,大数据"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,静安区,高级技术支持工程师,3-5年,本科,10k-15k,"牛人多,上市 公司,晋升明朗"
宁波森浦融讯科技有限公司,Sumscope-森浦资讯,150-500人,B轮,浦东新区,web开发工程师,3-5年,本科,15k-20k,"带薪年假,技能培训,定期体检,五险一金"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,高级Java开发工程师,5-10年,本科,20k-30k,"氛围好,福利多,空间大"
上海青客公共租赁住房租赁经营管理股份有限公司,上海青客,500-2000人,C轮,徐汇区,net高级开发工程师,3-5年,本科,15k-25k,年终奖 加班调休 项目奖
上海剑圣网络科技有限公司,2144游戏,150-500人,不需要融资,浦东新区,高级运维开发工程师,3-5年,本科,15k-30k,"福利好,平台大,前景好"
无锡华云数据技术服务有限公司,华云数据,500-2000人,D轮及以上,杨浦区,281-Java开发工程师（云计算）,5-10年,本科,25k-35k,"带薪年病假,团建旅游,年病假,各项补贴"
宽拓（北京）科技有限公司,Quantex,150-500人,A轮,黄浦区,ETL开发工程师,3-5年,本科,15k-30k,弹性工作，领导nice，下午茶，年假
上海商涌网络科技有限公司,商涌网络,15-50人,天使轮,浦东新区,JAVA工程师,3-5年,本科,15k-30k,JAVA
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,徐汇区,数据开发工程师,3-5年,本科,15k-30k,"福利好,待遇好,扁平化管理"
上海维塔士电脑软件有限公司,维塔士,500-2000人,B轮,长宁区,资深R&amp;D开发工程师,不限,本科,15k-30k,"游戏行业,一线品牌,骨干核心,发展机会多"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,黄浦区,运维开发工程师,1-3年,本科,9k-12k,大平台
国泰财产保险有限责任公司,国泰产险,500-2000人,不需要融资,浦东新区,高级Java工程师(数据技术方向),3-5年,本科,20k-30k,"蚂蚁控股,互联网保险,大平台,年轻有朝气"
上海画龙信息科技有限公司,Datatist,50-150人,A轮,徐汇区,高级数据开发工程师,5-10年,本科,15k-30k,"硅谷团队,资深大数据,期权激励,晋升平台"
上海海知智能科技有限公司,海知智能,50-150人,A轮,浦东新区,爬虫开发工程师,3-5年,本科,15k-30k,"技术大牛,福利多多,人工智能"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,大数据开发工程师,3-5年,大专,20k-30k,"平均15薪,餐补,六险一金"
上海方付通商务服务有限公司,方付通,150-500人,不需要融资,浦东新区,运维开发工程师,3-5年,本科,15k-30k,"大牛多,福利待遇好,年终奖"
工匠广告传播（上海）有限公司,NORMCORE,15-50人,不需要融资,长宁区,高级后端开发工程师,3-5年,本科,15k-25k,"团建,项目奖金,专业培训"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,测试开发工程师,3-5年,本科,16k-26k,"福利多,氛围好"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,浦东新区,蚂蚁金服-国际业务-工程效能开发工程师,3-5年,本科,2k-4k,"自己做主,云计算,服务开发者"
上海初瞳信息技术有限公司,易乎社区,50-150人,不需要融资,浦东新区,Java工程师（偏架构方向）,3-5年,本科,25k-35k,"潜力大,管理小组"
上海卡行天下供应链管理有限公司,卡行天下,2000人以上,D轮及以上,长宁区,Hadoop开发工程师,3-5年,本科,10k-20k,"平台大,提升快,牛人多,氛围好"
上海叶道科技有限公司,叶道科技,50-150人,B轮,徐汇区,DevOps Engineer（运维开发工程师）,1-3年,本科,12k-20k,"五险一金,多次涨薪,海外平台"
上海精学锐信息科技有限公司,精锐教育,2000人以上,上市公司,普陀区,数据开发工程师,3-5年,本科,15k-25k,"上市公司,年终奖金,试用期全薪,全额交金"
泰为信息科技（上海）有限公司,泰为,150-500人,上市公司,长宁区,技术研发经理,5-10年,本科,30k-40k,"大数据,机器学习,外资上市,福利丰厚"
上海木七七网络科技有限公司,木七七,15-50人,不需要融资,杨浦区,运维开发工程师,1-3年,不限,10k-18k,自由上班时间 年终奖 年底双薪
天津市基理科技股份有限公司,基理科技,50-150人,A轮,浦东新区,资深前端开发（上海张江）,3-5年,本科,15k-25k,"成长空间大,技术大牛,独立产品线,早九晚六"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,长宁区,资深开发工程师-PaaS平台（子公司岗位）,3-5年,本科,30k-60k,"paas,容器"
上海易恒健康生物科技有限公司,易恒健康,500-2000人,C轮,徐汇区,后台开发工程师,3-5年,大专,15k-20k,"团队氛围好,待遇优厚,技术氛围好,美女如云"
北京长亭科技有限公司,长亭科技,150-500人,B轮,长宁区,技术支持工程师,1-3年,大专,10k-20k,"带薪年假,工作餐,无限零食,五险一金"
上海易果电子商务有限公司,易果生鲜,2000人以上,C轮,长宁区,资深运维开发工程师,5-10年,本科,18k-28k,"扁平化,大平台"
上海画龙信息科技有限公司,Datatist,50-150人,A轮,徐汇区,ETL/数据仓库开发工程师,3-5年,本科,12k-24k,"大数据公司,硅谷团队,股票期权,带薪假期"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,测试开发工程师-高级,5-10年,大专,20k-30k,"行业独角兽,技术部助理,工作氛围好,弹性"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,测试开发工程师,1-3年,本科,15k-30k,"独角兽行业,上市公司,金融科技,薪资福利好"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,黄浦区,高级测试开发工程师,1-3年,本科,25k-35k,"技术,薪资,平台,福利"
前海煦逸信息技术（深圳）有限公司,ezbuy,500-2000人,C轮,浦东新区,GO开发工程师,1-3年,本科,13k-20k,"五险一金,项目奖金,弹性工作,期权"
上海画龙信息科技有限公司,Datatist,50-150人,A轮,徐汇区,数据开发工程师,3-5年,本科,12k-24k,"硅谷团队,核心大数据,期权激励,晋升平台"
迪卡侬（上海）体育用品有限公司,迪卡侬亚太IT中心,2000人以上,不需要融资,浦东新区,后端开发工程师,3-5年,本科,15k-25k,"自由,健身房,发展机会,完善的培训"
上海千杉网络技术发展有限公司,电视猫MoreTV,150-500人,B轮,浦东新区,运维开发工程师,3-5年,本科,15k-20k,"团队氛围好,技术能力佳"
上海图爽爽信息科技有限公司,上海图爽爽信息科技有限公司,15-50人,天使轮,浦东新区,前端开发工程师,5-10年,本科,20k-40k,"免费午餐,交通便利,环境高大上"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,Golang中高级开发工程师 - PaSS,3-5年,本科,25k-50k,"技术氛围好,发展空间大,至少15薪,运用最新技"
上海数禾信息科技有限公司,还呗-智能信贷领先者,150-500人,不需要融资,浦东新区,数仓/数据仓库/ETL开发工程师,3-5年,不限,12k-24k,"移动金融,未来金矿,精英团队,助力成长"
晋松（上海）网络信息技术有限公司,享换机,50-150人,A轮,杨浦区,测试开发工程师,1-3年,本科,10k-20k,"晋升空间,福利待遇"
上海迈坦信息科技有限公司,MetaLab,50-150人,A轮,浦东新区,后端工程师,1-3年,本科,15k-30k,"Pytho,Ruby,Java,C++"
上海大岂网络科技有限公司,MoSeeker仟寻,50-150人,B轮,徐汇区,Hadoop工程师,1-3年,本科,16k-25k,"薪资福利好,技术团队强,氛围好,交通便利"
上海七牛信息技术有限公司,七牛云,500-2000人,D轮及以上,浦东新区,资深分布式存储研发（机器学习）,5-10年,本科,25K-40K,"机器学习,分布式存储"
威比网络科技（上海）有限公司,TutorABC英语,2000人以上,C轮,虹口区,高级后端研发,1-3年,本科,18k-36k,"牛人多,成长快"
圆通速递有限公司,圆通,2000人以上,上市公司,青浦区,高级ETL开发工程师,3-5年,本科,15k-30k,上市公司，大牛团队，大平台，机会多
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,JAVA研发工程师,1-3年,本科,15k-30k,极客，舒适的办公环境，前沿的技术产品
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,golang开发工程师,1-3年,本科,20k-35k,"平均16薪,扁平化管理,弹性工作,福利好"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,浦东新区,数据开发工程师,3-5年,本科,15k-25k,"福利待遇好,发展前景好"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,浦东新区,算法研发工程师（推荐引擎）,1年以下,硕士,20k-40k,"大牛多,发展空间,氛围佳,准独角兽"
上海即果信息技术有限公司,即刻,50-150人,C轮,杨浦区,基础设施工程师,3-5年,本科,15k-30k,"产品有潜力,技术优秀"
上海妙克信息科技有限公司,VIP陪练,500-2000人,B轮,杨浦区,web开发工程师,3-5年,本科,15k-25k,"弹性工作,互联网教育,B轮融资"
华院数据技术（上海）有限公司,华院数据,500-2000人,C轮,静安区,后台开发工程师,5-10年,本科,25k-30k,"10天年假,五险一金,学院氛围,各类补贴"
上海德启信息科技有限公司,德邦,2000人以上,不需要融资,青浦区,系统管理工程师,3-5年,大专,15k-19k,"牛人云集,氛围好,晋升快"
上海动搜网络科技有限公司,花动传媒,150-500人,B轮,闵行区,JAVA 资深开发工程师,5-10年,本科,18k-35k,"上升空间大,团队氛围好,五险一金,项目奖金"
上海大岂网络科技有限公司,MoSeeker仟寻,50-150人,B轮,徐汇区,高级Java工程师,5-10年,本科,15k-25k,"薪资福利好,团队技术强,技术氛围浓,交通便利"
杭州游卡网络技术有限公司,游卡桌游,500-2000人,不需要融资,浦东新区,C++开发工程师,1-3年,大专,15k-25k,"平台好,六险二金,公司氛围佳,学习机会"
拉扎斯网络科技（上海）有限公司,饿了么,2000人以上,D轮及以上,普陀区,开发工程师,1-3年,本科,18k-36k,发展平台好 薪资open 环境nice 技术氛围浓
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,静安区,资产安全开发工程师(J180807010),3-5年,本科,20k-40k,领导nice，团队合作，薪资福利
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,C#.net开发工程师,1-3年,本科,12k-20k,"500强,福利待遇好,弹性工作制"
勇大信息技术（上海）有限公司,Udacity,150-500人,D轮及以上,徐汇区,Web &amp; K12 课程经理,1年以下,硕士,8k-13k,"硅谷独角兽,大牛带你飞,热门行业,快速增长期"
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,算法工程师,3-5年,本科,15k-30k,"六险一金,扁平管理,团队氛围好"
驭势科技（北京）有限公司,驭势科技,50-150人,A轮,长宁区,高精地图开发工程师,5-10年,本科,10k-20k,合伙人
上海画龙信息科技有限公司,Datatist,50-150人,A轮,徐汇区,ETL/数据仓库开发工程师,3-5年,本科,12k-24k,"大数据公司,硅谷团队,股票期权,带薪假期"
上海诺诺镑客金融信息服务有限公司,麦子金服,500-2000人,A轮,浦东新区,大数据开发工程师,1-3年,本科,15k-30k,"薪资优待,福利完善"
内蒙古君正互联网小额贷款有限公司,内蒙古君正网贷,50-150人,不需要融资,浦东新区,ETL开发工程师,5-10年,本科,15k-25k,十四薪
上海剑圣网络科技有限公司,2144游戏,150-500人,不需要融资,浦东新区,大数据开发工程师,3-5年,大专,15k-25k,"福利好,平台大,发展空间"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,浦东新区,高级测试开发工程师/专家,3-5年,本科,20k-40k,"发展空间大,福利待遇好"
上海一健事健康科技有限公司,麦子科技,15-50人,A轮,浦东新区,PHP工程师,3-5年,本科,20k-25k,"年底双薪,加班补贴,上升空间,五险一金"
上海唯链信息科技有限公司,Vechain,50-150人,B轮,静安区,swift区块链开发工程师,5-10年,本科,18k-35k,"年底N薪,弹性工作,免费工作餐,零食水果"
圆通速递有限公司,圆通,2000人以上,上市公司,青浦区,高级大数据开发工程师,3-5年,本科,15k-30k,上市公司，前景好，氛围好，待遇好
上海锐赢信息技术有限公司,锐赢企业,150-500人,不需要融资,浦东新区,大数据开发工程师,5-10年,本科,20k-40k,"大公司,环境好,交通便利,稳定"
上海客佳信息科技有限公司,客佳,50-150人,不需要融资,浦东新区,资深前端开发工程师,5-10年,本科,20k-40k,"五险一金,子女福利,团队建设,氛围好"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,徐汇区,技术支持工程师（壹钱包）,3-5年,大专,9k-11k,大平台
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,杨浦区,Web开发,不限,不限,10k-19k,"六险一金,竞升机制,带薪年假,弹性工作"
上海笔金网络科技有限公司,笔金,15-50人,未融资,杨浦区,算法工程师,3-5年,本科,10k-20k,"周末双休,美味午餐,年度旅游,年底双薪"
上海客佳信息科技有限公司,客佳,50-150人,不需要融资,浦东新区,资深前端开发工程师,5-10年,本科,20k-40k,"五险一金,定期团建,老板好,福利好"
上海海知智能科技有限公司,海知智能,50-150人,A轮,浦东新区,运维开发工程师,不限,本科,15k-25k,"人工智能,技术大牛,发展空间大,创新前沿"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,徐汇区,go开发工程师(J10513),1-3年,本科,15k-30k,"带薪病假,租房补贴,海量数据"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,Golang开发工程师,3-5年,大专,20k-30k,"行业独角兽,技术部助理,工作氛围好,弹性"
杭州威佩网络科技有限公司,威佩,150-500人,A轮,虹口区,资深前端开发工程师,3-5年,本科,15k-30k,"精英团队,弹性工作,技术驱动,大数据平台"
上海谷露软件有限公司,谷露软件,50-150人,A轮,黄浦区,运维开发工程师,1-3年,本科,20k-30k,"五险一金,包两餐,13薪,奖金多"
上海点融信息科技有限责任公司,点融,150-500人,D轮及以上,黄浦区,大数据开发工程师-SH2925（ETL方向）,1-3年,本科,18k-35k,"大牛多,大数据,弹性工时"
上海大岂网络科技有限公司,MoSeeker仟寻,50-150人,B轮,徐汇区,算法工程师,1-3年,本科,20k-30k,"B轮,移动互联网,AI,算法大牛"
上海中彦信息科技股份有限公司,返利网,500-2000人,C轮,徐汇区,算法工程师-ESH0723,3-5年,本科,30k-40k,"五险一金,商业保险,免费午餐,健身俱乐部"
上海帆一尚行科技有限公司,上汽云计算中心,50-150人,不需要融资,浦东新区,安全产品开发工程师,5-10年,本科,20K-40K,""""""
浙江溢米教育科技有限公司,溢米辅导,2000人以上,B轮,徐汇区,大数据开发工程师,3-5年,本科,20k-40k,"高薪,朝阳行业,互联网"
上海汇付数据服务有限公司,汇付,500-2000人,C轮,徐汇区,运维开发工程师,3-5年,本科,15k-30k,"领导好,绩效,环境好,氛围好"
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,长宁区,资深AI算法开发工程师,3-5年,硕士,25k-40k,发展前景好
上海爸妈营教育科技有限公司,爸妈营,50-150人,A轮,杨浦区,Node.js开发工程师,1-3年,本科,13k-20k,"交通便利,发展空间,工作氛围"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,徐汇区,全栈开发工程师,3-5年,本科,20k-40k,"发展空间大,期权激励,弹性工作"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,高级运维开发工程师,3-5年,本科,25k-40k,"技术氛围好,待遇优厚,发展空间大,15薪起"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,徐汇区,全栈开发工程师,3-5年,本科,20k-40k,"发展空间大,期权激励,弹性工作"
华建数创（上海）科技有限公司,华建数创,50-150人,未融资,静安区,后端开发工程师,3-5年,本科,15k-30k,"补充公积金,补充医疗保,团队佳,带薪年假"
上海合合信息科技发展有限公司,名片全能王,150-500人,C轮,静安区,大数据图谱开发工程师,1-3年,本科,15k-30k,"弹性工作,大牛云集"
晋松（上海）网络信息技术有限公司,享换机,50-150人,A轮,杨浦区,中高级测试开发工程师,3-5年,本科,15k-25k,"晋升空间,福利待遇"
上海点融信息科技有限责任公司,点融,150-500人,D轮及以上,黄浦区,大数据开发工程师-SH2925（ETL方向）,1-3年,本科,18k-35k,"大牛多,大数据,弹性工时"
杭州橙鹰数据技术有限公司,橙鹰,150-500人,不需要融资,闵行区,资深数据研发工程师(P6),1-3年,本科,10k-20k,"阿里,公共安全,大数据"
上海闪策信息科技有限公司,闪策科技,15-50人,不需要融资,浦东新区,前端开发工程师,1-3年,本科,15k-30k,"年假15天,专业平台,高端医疗险,氛围融洽"
上海喔噻互联网科技有限公司,喔噻科技,500-2000人,B轮,普陀区,后端开发工程师,应届毕业生,本科,8k-15k,互联网文化 大咖云集 技术挑战
上海爸妈营教育科技有限公司,爸妈营,50-150人,A轮,杨浦区,Node.js开发工程师,1-3年,本科,13k-20k,"交通便利,发展空间,工作氛围"
上海丫丫信息科技有限公司,妈妈帮,50-150人,不需要融资,浦东新区,算法工程师,3-5年,本科,20k-40k,"竞争力薪酬,福利好,平台好"
上海莉莉丝科技股份有限公司,莉莉丝游戏,150-500人,不需要融资,闵行区,数据开发工程师,5-10年,本科,15k-25k,"弹性工作,福利待遇好,工作氛围好,各种团"
上海享途网络科技有限公司,乐车邦,150-500人,B轮,杨浦区,运维开发工程师,1-3年,本科,10k-15k,"发展空间大,扁平管理"
拉扎斯网络科技（上海）有限公司,饿了么,2000人以上,D轮及以上,普陀区,后端工程师－GOC,1-3年,不限,15k-30k,弹性工作制 技术团队 发展空间大
上海云轴信息科技有限公司,ZStack,150-500人,A轮,闵行区,技术实施工程师,1-3年,本科,8k-15k,"行业领跑,大牛云集,扁平化管理,五百强福利"
上海媒智科技有限公司,媒智科技,15-50人,不需要融资,徐汇区,运维开发工程师,1-3年,大专,10k-20k,"氛围好,人性化,技术交流,股权激励"
普强信息技术（北京）有限公司,普强信息,150-500人,C轮,徐汇区,C++开发工程师,不限,本科,10k-20k,"人工智能,大牛多,工作环境好"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,静安区,java开发工程师,3-5年,大专,13k-18k,大平台
无锡华云数据技术服务有限公司,华云数据,500-2000人,D轮及以上,杨浦区,00753-222-前端开发工程师,3-5年,本科,15k-22k,"年假病假,各项补贴,弹性上下班,团建旅游"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,普陀区,大数据开发工程师（上海校招）,应届毕业生,本科,10k-15k,"优秀团队,扁平管理,福利完善,行业领先"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,徐汇区,流媒体开发工程师,3-5年,本科,25k-50k,六险一金，高薪期权，弹性工作，免费三餐
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,前端开发工程师,3-5年,大专,18k-30k,"独角兽,平均16薪,弹性上班,技术驱动"
稿定（厦门）科技有限公司,稿定（厦门）科技有限公...,150-500人,不需要融资,徐汇区,安卓多媒体开发工程师,3-5年,本科,20k-40k,"团队氛围好,薪酬福利佳,免费下午茶,行业前景佳"
威比网络科技（上海）有限公司,TutorABC英语,2000人以上,C轮,虹口区,前端工程师,1-3年,本科,15k-20k,"五险一金,早餐水果,节日福利"
上海森亿医疗科技有限公司,森亿智能,150-500人,B轮,浦东新区,全栈开发工程师,3-5年,本科,15k-20k,"技术大牛多,薪资福利优,行业发展好,15薪"
上海海知智能科技有限公司,海知智能,50-150人,A轮,浦东新区,爬虫开发工程师,1-3年,本科,13k-25k,"人工智能,技术大牛,创新前沿,弹性工作"
上海钦文信息科技有限公司,爱乐奇,150-500人,D轮及以上,浦东新区,中级大数据研发工程师,3-5年,本科,10k-15k,"行业前景好,领导好,团队氛围佳"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,徐汇区,C/C++,1年以下,本科,10k-16k,"六险一金,带薪年假,竞升机制,免费体检"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,浦东新区,资深Java工程师(P6)/技术专家(P7),3-5年,本科,20k-40k,"千万级规模,数据驱动,扁平管理"
上海优梦信息科技有限公司,优梦,50-150人,B轮,杨浦区,资深PHP开发工程师,5-10年,本科,25k-35k,"全勤奖,五险一金,餐补"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,徐汇区,资深后台研发工程师,3-5年,本科,25k-50k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，职业大牛，团队氛围好，优厚薪资
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,浦东新区,[Nokia-SH-Bell]嵌入式软件开发工程师,1-3年,本科,10k-18k,"六险一金,带薪年假,弹性工作,培养机制"
上海海知智能科技有限公司,海知智能,50-150人,A轮,浦东新区,高级爬虫开发工程师,5-10年,本科,20k-40k,"人工智能,弹性工作,创新前沿,技术大牛"
深圳追一科技有限公司,追一科技,150-500人,B轮,长宁区,PHP后台开发工程师,3-5年,本科,20k-40k,"AI行业,创新业务"
上海晶赞科技发展有限公司,晶赞科技Zamplus,150-500人,D轮及以上,闸北区,算法研发工程师（反作弊方向）,1-3年,本科,15k-25k,"科技公司,行业领先,技术大牛"
上海证大喜马拉雅网络科技有限公司,喜马拉雅,500-2000人,D轮及以上,浦东新区,Scala开发工程师（高级）,5-10年,本科,18k-30k,音频独角兽，弹性工作，年终奖金，发展平台
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,前端开发,1-3年,本科,10k-15k,"旅游,体检,过节费,年终奖"
上海画龙信息科技有限公司,Datatist,50-150人,A轮,徐汇区,ETL大数据开发工程师,1-3年,本科,10k-20k,"硅谷团队,发15m,晋升平台,氛围融洽"
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,徐汇区,数据开发工程师,3-5年,本科,15k-30k,"福利好,扁平化管理,待遇好"
上海易果电子商务有限公司,易果生鲜,2000人以上,C轮,长宁区,资深运维开发工程师,3-5年,本科,15k-30k,大平台
上海沃易智电子商务有限公司,Voyageone,150-500人,不需要融资,浦东新区,运维开发工程师 DevOps,1-3年,本科,9k-18k,"有大牛,DevOP,自动化运维,快速成长"
上海颂诚网络科技有限公司,票牛网,50-150人,B轮,静安区,【devops】运维开发工程师,1-3年,本科,13k-18k,"完美的福利,竞争力薪酬,工作氛围好,上升空间大"
上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,浦东新区,大数据开发工程师（金融）,5-10年,本科,15k-25k,"五险一金,晋升空间大,公积金全额"
上海方付通商务服务有限公司,方付通,150-500人,不需要融资,浦东新区,运维开发工程师,3-5年,本科,15k-30k,"公司平台大,扁平化管理,福利待遇好"
上海诺诺镑客金融信息服务有限公司,麦子金服,500-2000人,A轮,浦东新区,hadoop开发工程师,3-5年,本科,15k-30k,"薪资优待,福利完善,地段优越,弹性工作"
